contract_id,hotel_name,ingredients
nt8fl4mswj,Schmeler-Renner,"Turnips,Flat Mushrooms,Lychees"
bc39c8wcne,Lockman-Wintheiser,"Cardamom,Berries,Green Tea Noodles,Dried Apricots"
kdc0p67tuv,Botsford Inc,"Nutritional Yeast,Pear Juice,Flat Mushrooms"
oavmib4k66,Dietrich Inc,"Soymilk,Plums,Apple Cider Vinegar,Redfish,Baking Powder"
3grh0i2i1u,Cremin Inc,"Loquats,Extra Virgin Olive Oil,Rice Flour,Rice Noodles,Sunflower Oil"
axmgxd30b7,Bosco-Bayer,"Chia Seeds,Bacon,Cauliflower"
uz47prxh7t,Breitenberg Group,"Oatmeal,Apricots,Jasmine Rice"
5pf1hqmj50,"Cummings, O'Hara and Casper","Taleggio Cheese,Nutritional Yeast,Fingerlime,Sunflower Oil"
qz7ktt52i5,"Kutch, Ryan and Boyer","Rice Flour,Strawberries,Oatmeal"
p67ka79qaf,Schaden LLC,"Bacon,Nuts,Soy Beans"
iw3on353w8,Pollich Inc,"Freekeh,Plums,Jasmine Rice"
ujfi981tmg,Cremin Inc,"Tarragon,Silverbeet,Kidneys,Jasmine Rice,Mahlab"
blfvb273hp,Deckow-Kihn,"Sunflower Oil,Rice Flour,Freekeh"
npyuskbauj,"Cummings, O'Hara and Casper","Camomile,Tinned,Apple Cider Vinegar,Kombu"
8hs4iqao6r,"Johnson, Watsica and Koch","Black Eyed Beans,Corn Oil,Ham,Extra Virgin Olive Oil,White Wine"
dqv5rb1nbs,Bosco-Bayer,"Vegetable Stock,Apple Cider Vinegar,Peas,Parsnip,Red Cabbage"
7pxdrhm7rj,"Lindgren, Willms and MacGyver","Fingerlime,Soy Beans,Ham,Rice Noodles,Curry Powder"
flhhfvvby8,Pollich Inc,"Green Tea Noodles,Hokkien Noodles,Omega Spread"
civclquain,"Herman, Considine and Senger","Provolone,Jasmine Rice,Spinach"
f1w7ebr1qz,Reilly-Ebert,"Flat Mushrooms,Plums,Bean Sprouts"
06hzscg5hj,Nienow LLC,"Warehou,Rye Bread,Rice Noodles,Strawberries"
nuc6rpgnvy,Braun-Wunsch,"Kombu,Tarragon,English Spinach,Berries,Red Cabbage"
84yz6l3hd4,Reilly-Ebert,"Baking Powder,Rockmelon,Tamarillo"
xvht4bnr8s,Schaden LLC,"Black Eyed Beans,Lychees,Baking Powder"
uj5lyiiuft,Botsford Inc,"Tinned,Sunflower Oil,Loquats,Curry Powder,Flat Mushrooms"
rhn1v34u8t,"Johnson, Watsica and Koch","Hokkien Noodles,Cream Cheese,Tapioca Flour,Soy Sauce,William Pear"
nr0qelg894,Kunze Inc,"Vegetable Stock,Shark,Soy Beans"
upxil65133,"Johnson, Watsica and Koch","Pecan Nut,Cauliflower,Dried Apricots,Kombu,Cream Cheese"
kaxrm6v2da,Rempel and Sons,"Elderberry,Dried Apricots,Corn Oil,Cardamom"
bdrjerywmc,Sporer Group,"Canola Oil,Iceberg Lettuce,Turnips,Tarragon"
cz93ynx74f,Quigley-Braun,"Silverbeet,Berries,Cottage Cheese"
38yz1a6js7,Murray LLC,"Elderberry,Apples,Tarragon,Cacao"
f3v19t0a93,Dare LLC,"Cream Cheese,Soy Sauce,Lychees"
761iv83hst,Schaden LLC,"Loquats,Oatmeal,Chives,Saffron"
vgxz2pg4bj,Feil LLC,"Apricots,Saffron,Cottage Cheese,Chia Seeds,Rice Flour"
janb3ugjwe,"Cummings, O'Hara and Casper","Oatmeal,Tahini,Cinnamon,Soy Sauce,Lychees"
7xlkiwlpw0,Dietrich Inc,"Berries,Rockmelon,Salmon"
1zfjz43qm3,Botsford Inc,"Green Tea Noodles,Tapioca Flour,Peas,Soy Beans"
qtsai8z8vm,Dare LLC,"Baking Powder,Kombu,English Spinach,Pecan Nut"
aexlrnp2gk,Bruen-Jaskolski,"Soy Beans,Coriander Leaves,Tinned"
0q0fuvrex2,Dickens-Ortiz,"Cardamom,Loquats,Shark"
7kdbp9zn30,Feil LLC,"Loquats,Feta,Curry Powder"
pvdh5kr2l8,Feil LLC,"Apples,Cardamom,Bacon,Tinned,Baking Powder"
ng2ai2c384,Hyatt Inc,"Chia Seeds,Taleggio Cheese,Beef,Flat Mushrooms"
1i5x23ve1o,Schmeler-Renner,"Iceberg Lettuce,Silverbeet,English Spinach,Vegetable Stock,Baking Powder"
l721send0z,Nienow LLC,"Apricots,Chia Seeds,Saffron"
gw01ggjs3m,"Leannon, Cassin and Trantow","Extra Virgin Olive Oil,Mahlab,Baking Powder,Spinach"
c6cc07wcvl,Hyatt Inc,"Pecan Nut,Butter,Wakame,Chives,Vegetable Oil"
gv1g8lgc4g,Blanda and Sons,"Elderberry,Curry Powder,Cinnamon,Cauliflower,Nuts"
fpiw0p6qly,Botsford Inc,"Red Cabbage,Cauliflower,William Pear"
52yh8v3d0r,Brown Group,"Green Tea Noodles,Red Cabbage,Chia Seeds,Tapioca Flour,Peas"
4n6y5xq0bu,Blanda and Sons,"Bonza,Silverbeet,Peas"
akqkikmlbl,"Medhurst, Streich and Schamberger","Green Tea Noodles,Sunflower Seeds,Apricots,Mahlab"
v4ykwr87j4,"McCullough, Leannon and Nolan","Lychees,Corn Oil,Cottage Cheese"
v4e9f8daa4,Cremin Inc,"Bonza,Rockmelon,Cream Cheese,Saffron,White Wine"
vd52ft3dry,Leffler-Huel,"Silverbeet,Freekeh,Apricots,Pork,Green Tea Noodles"
1bm0217i6p,Dickens-Ortiz,"Berries,Sunflower Seeds,English Spinach,Dried Apricots"
n7rjjm0cf1,Quigley-Braun,"Cream Cheese,Elderberry,Turnips,Nutritional Yeast"
5kjuw5hl7d,Murray LLC,"Apples,Turnips,Pecan Nut,Jasmine Rice"
uvhginhh9y,Blanda and Sons,"Bean Sprouts,Fingerlime,Extra Virgin Olive Oil,Hokkien Noodles"
m8fkikv5bq,Dare LLC,"Parsnip,Black Eyed Beans,Red Cabbage,Bacon"
xw4ryvpsfv,Skiles Group,"Nuts,White Wine,Cornmeal"
12n1yanx6l,Breitenberg Group,"Saffron,Salmon,Rice Noodles,Freekeh"
3xbjbe41pp,Braun-Wunsch,"Hokkien Noodles,Flat Mushrooms,Bean Sprouts,English Spinach"
dqh9otr9ci,Kerluke-Armstrong,"Iceberg Lettuce,Cream Cheese,Mastic"
ii92pyoze8,"Aufderhar, Mosciski and Smith","Taleggio Cheese,Turnips,Pear Juice,Camomile,Smoked Trout"
ki5upbm2go,Kunze Inc,"Flat Mushrooms,Chia Seeds,Plums,Provolone,Dried Apricots"
g7a1mlrt3b,"Gottlieb, Wolff and Bechtelar","Feta,Flat Mushrooms,Achacha,Hokkien Noodles"
62ywg7ucck,Dare LLC,"Flat Mushrooms,Shark,Sunflower Seeds"
ncvl5jpspn,"Gottlieb, Wolff and Bechtelar","Pecan Nut,Rice Flour,Soymilk,Soy Sauce"
7i6d8itdt2,Kulas LLC,"Bonza,Cardamom,Apple Cider Vinegar,Wakame,Rose Water"
rd4z8t6cxh,"Aufderhar, Mosciski and Smith","Nutritional Yeast,Kidneys,Feta,Rice Flour"
kx41pchlaf,Cremin Inc,"Bean Sprouts,Feta,Tahini"
14o1u39w1u,Dietrich Inc,"Taleggio Cheese,Lychees,White Wine,Cinnamon,Salmon"
b2vcq7w02e,Braun-Wunsch,"Camomile,Omega Spread,Hokkien Noodles"
byl33btijs,Kerluke-Armstrong,"Taleggio Cheese,Pork,Bean Sprouts,Ham"
rxkwcejt0i,Kerluke-Armstrong,"William Pear,Dried Apricots,Redfish,Apples,Pork"
uilzeuyaam,Leffler-Huel,"Pork,Peas,Bonza,Shark,Extra Virgin Olive Oil"
xbvwx998dn,Dickens-Ortiz,"Baking Powder,Cream Cheese,Taleggio Cheese"
17b3alkbpm,Schmitt-Reichert,"Rose Water,Beef,Bonza,Peas"
195jcnumje,Breitenberg Group,"Flaxseed Oil,Parsnip,Loquats,Pork,Apple Cider Vinegar"
sgnryg7ck8,Dare LLC,"Iceberg Lettuce,Extra Virgin Olive Oil,Pecan Nut,Plums"
fw1dqqsvyv,Quigley-Braun,"Pork,Baking Powder,Curry Powder,Coriander Leaves,Dried Apricots"
z3g171bs6d,Breitenberg Group,"Provolone,Chia Seeds,Cinnamon"
8dvis2w04u,Cremin Inc,"Wakame,Cauliflower,Berries,Smoked Trout"
qqm3bo6qgu,"Johnson, Watsica and Koch","Pear Juice,Spinach,Jasmine Rice,Nuts"
ilrqkuqf9t,"Herman, Considine and Senger","Cornmeal,Cream Cheese,Tarragon,Beef,Oatmeal"
6bxtpixoll,"Leannon, Cassin and Trantow","Iceberg Lettuce,Rice Noodles,Cardamom,Saffron"
wynd0875iw,Berge-Parker,"Fingerlime,Cottage Cheese,Wakame"
ny8n7mge8l,Kunze Inc,"Berries,Bonza,Sunflower Oil,Baking Powder"
8j6g2l4jhq,Cremin Inc,"Vegetable Oil,Hokkien Noodles,Nuts,Jasmine Rice,Salmon"
d5r0j3ufvy,Cremin Inc,"Apples,William Pear,Cardamom,Soymilk,Wakame"
kv6ufukca7,Heidenreich-Hagenes,"Rice Flour,Extra Virgin Olive Oil,Loquats,Shark,Chives"
9w9h3kehjg,Heidenreich-Hagenes,"Flat Mushrooms,Tamarillo,Hokkien Noodles,Vegetable Stock,Wakame"
b29chwntkb,"Lindgren, Willms and MacGyver","Rice Flour,Red Cabbage,Extra Virgin Olive Oil"
wmhjm7nv3m,Blanda and Sons,"Flat Mushrooms,Freekeh,Extra Virgin Olive Oil"
4k4uiksavt,"Medhurst, Streich and Schamberger","Pear Juice,Soy Beans,Dried Apricots"
zif31ky9bb,Dickens-Ortiz,"Cornmeal,English Spinach,Apple Cider Vinegar,Chia Seeds,Nuts"
xp3ase7y4n,Cremin Inc,"Cream Cheese,Mahlab,Smoked Trout"
zx4rib7szd,Kulas LLC,"Tapioca Flour,Shark,Plums,Tinned,Silverbeet"
fag33y4lmw,Cremin Inc,"Dried Apricots,Shark,Butter,Salmon"
xg9hmnomg7,"Aufderhar, Mosciski and Smith","Cottage Cheese,Cream Cheese,Sunflower Oil,Redfish,Pear Juice"
9lsq69mhi1,Kunze Inc,"Curry Powder,Vegetable Oil,Chia Seeds,Salmon"
zi0ct60jo8,Braun-Wunsch,"Shark,Black Eyed Beans,Mahlab"
l2x7hug6bn,Dare LLC,"Black Eyed Beans,Shark,Achacha,Soymilk"
wc1ua2c632,Dietrich Inc,"Tinned,Black Eyed Beans,Flat Mushrooms,Red Cabbage"
oz25vok193,"Herman, Considine and Senger","Black Eyed Beans,Cinnamon,Silverbeet,Mastic"
6hl7eptfbm,"Aufderhar, Mosciski and Smith","Rye Bread,Fingerlime,Apricots,Cream Cheese"
mw0klfkxly,Dickens-Ortiz,"William Pear,Iceberg Lettuce,Pecan Nut,Wakame,Tamarillo"
gsyu5zjbch,Kulas LLC,"Flaxseed Oil,Cottage Cheese,Fingerlime"
9qfqx3brxj,"Medhurst, Streich and Schamberger","Extra Virgin Olive Oil,White Wine,Shark,Corn Oil,Coriander Leaves"
atlvc2ho1x,Deckow-Kihn,"Achacha,Kidneys,Vegetable Stock"
86dyeplwry,Bruen-Jaskolski,"Nuts,Canola Oil,Cardamom,Parsnip"
ynvbcjyr7m,Skiles Group,"Freekeh,Rose Water,Pork,Peas"
dr8ait3e7b,"Kutch, Ryan and Boyer","Pear Juice,Nuts,Bacon,Vegetable Stock,Camomile"
rnyeexra0i,Deckow-Kihn,"Rice Noodles,Tamarillo,William Pear,Pork,Tahini"
uy2f7b9mop,"Aufderhar, Mosciski and Smith","Omega Spread,Hokkien Noodles,Shark"
hfod12u7s0,"Lubowitz, Prohaska and Reilly","Chia Seeds,English Spinach,Saffron,Rye Bread"
